Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,95730,2,2,4,5,12,1,315,"0,000%","320,45124","45,06","37,87"
TOTAL,95730,2,2,4,5,12,1,315,"0,000%","320,45124","45,06","37,87"
