Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,4441,4,3,8,9,13,1,35,"0,000%","14,87603","2,09","1,76"
TOTAL,4441,4,3,8,9,13,1,35,"0,000%","14,87603","2,09","1,76"
