Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,170639,15,3,31,80,272,1,497,"0,000%","570,80781","80,27","67,45"
TOTAL,170639,15,3,31,80,272,1,497,"0,000%","570,80781","80,27","67,45"
