Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,229,4,4,9,10,19,2,51,"0,000%",",76946","0,11","0,09"
TOTAL,229,4,4,9,10,19,2,51,"0,000%",",76946","0,11","0,09"
