Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /ping,11009,3,1,52,"2,71","0,000%","36,85490","5,18","4,35","144,0"
TOTAL,11009,3,1,52,"2,71","0,000%","36,85490","5,18","4,35","144,0"
