Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,21699,3,3,7,9,17,1,41,"0,000%","72,63823","10,21","8,58"
TOTAL,21699,3,3,7,9,17,1,41,"0,000%","72,63823","10,21","8,58"
