Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /ping,4441,4,1,35,"2,49","0,000%","14,87603","2,09","1,76","144,0"
TOTAL,4441,4,1,35,"2,49","0,000%","14,87603","2,09","1,76","144,0"
