Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /ping,41354,2,1,39,"2,21","0,000%","138,44197","19,47","16,36","144,0"
TOTAL,41354,2,1,39,"2,21","0,000%","138,44197","19,47","16,36","144,0"
