Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /ping,95730,2,1,315,"4,54","0,000%","320,45124","45,06","37,87","144,0"
TOTAL,95730,2,1,315,"4,54","0,000%","320,45124","45,06","37,87","144,0"
