Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,11009,3,3,7,9,15,1,52,"0,000%","36,85490","5,18","4,35"
TOTAL,11009,3,3,7,9,15,1,52,"0,000%","36,85490","5,18","4,35"
