Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /ping,229,4,2,51,"4,21","0,000%",",76946","0,11","0,09","144,0"
TOTAL,229,4,2,51,"4,21","0,000%",",76946","0,11","0,09","144,0"
