Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,1942,217,188,287,356,596,104,7477,"0,103%","6,50870","217,91","0,94"
TOTAL,1942,217,188,287,356,596,104,7477,"0,103%","6,50870","217,91","0,94"
