Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,3512,349,111,7540,"259,69","0,057%","11,74570","285,94","1,69","24928,1"
TOTAL,3512,349,111,7540,"259,69","0,057%","11,74570","285,94","1,69","24928,1"
