Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,3810,220,2,17296,"419,92","0,052%","12,75105","292,87","1,83","23519,5"
TOTAL,3810,220,2,17296,"419,92","0,052%","12,75105","292,87","1,83","23519,5"
