Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,196,222,160,189,201,280,5,12053,"0,000%",",65822","124,98","0,09"
TOTAL,196,222,160,189,201,280,5,12053,"0,000%",",65822","124,98","0,09"
