Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,4116,2200,2144,2869,3023,3399,138,9435,"0,049%","13,68256","305,94","1,97"
TOTAL,4116,2200,2144,2869,3023,3399,138,9435,"0,049%","13,68256","305,94","1,97"
