Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,3810,220,169,435,679,1286,2,17296,"0,052%","12,75105","292,87","1,83"
TOTAL,3810,220,169,435,679,1286,2,17296,"0,052%","12,75105","292,87","1,83"
