Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,928,29738,31273,60087,61274,85889,0,86421,"39,763%","3,03016","127,76","0,36"
TOTAL,928,29738,31273,60087,61274,85889,0,86421,"39,763%","3,03016","127,76","0,36"
