Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,1942,217,104,7477,"208,55","0,103%","6,50870","217,91","0,94","34283,9"
TOTAL,1942,217,104,7477,"208,55","0,103%","6,50870","217,91","0,94","34283,9"
