Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,3512,349,268,648,822,1220,111,7540,"0,057%","11,74570","285,94","1,69"
TOTAL,3512,349,268,648,822,1220,111,7540,"0,057%","11,74570","285,94","1,69"
