Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,202,178,139,173,182,573,106,6217,"0,000%",",67709","124,64","0,10"
TOTAL,202,178,139,173,182,573,106,6217,"0,000%",",67709","124,64","0,10"
