Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,41354,2,2,5,6,13,1,39,"0,000%","138,44197","19,47","16,36"
TOTAL,41354,2,2,5,6,13,1,39,"0,000%","138,44197","19,47","16,36"
