Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,4116,2200,138,9435,"569,74","0,049%","13,68256","305,94","1,97","22896,6"
TOTAL,4116,2200,138,9435,"569,74","0,049%","13,68256","305,94","1,97","22896,6"
