Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,202,178,106,6217,"431,32","0,000%",",67709","124,64","0,10","188495,1"
TOTAL,202,178,106,6217,"431,32","0,000%",",67709","124,64","0,10","188495,1"
