Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,787,40130,57483,89453,89839,90160,0,90192,"45,997%","2,21532","111,08","0,27"
TOTAL,787,40130,57483,89453,89839,90160,0,90192,"45,997%","2,21532","111,08","0,27"
