Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /ping,2259,5,4,8,10,15,1,24,"0,000%","7,56819","1,06","0,89"
TOTAL,2259,5,4,8,10,15,1,24,"0,000%","7,56819","1,06","0,89"
