Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,2199,40,4,155,174,219,2,408,"0,091%","7,36970","6,42","1,06"
TOTAL,2199,40,4,155,174,219,2,408,"0,091%","7,36970","6,42","1,06"
