Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,6590,877,624,2229,2564,3364,2,4730,"0,061%","22,04360","59,07","3,17"
TOTAL,6590,877,624,2229,2564,3364,2,4730,"0,061%","22,04360","59,07","3,17"
