Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,223,36,10,157,176,198,3,211,"0,000%",",74921","0,71","0,11"
TOTAL,223,36,10,157,176,198,3,211,"0,000%",",74921","0,71","0,11"
