Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,4301,2049,14,4724,"589,72","0,047%","14,31019","39,25","2,06","2808,3"
TOTAL,4301,2049,14,4724,"589,72","0,047%","14,31019","39,25","2,06","2808,3"
