Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,3715,259,217,420,566,802,11,1480,"0,054%","12,43473","33,87","1,79"
TOTAL,3715,259,217,420,566,802,11,1480,"0,054%","12,43473","33,87","1,79"
