Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,791,37828,32401,89331,89664,89891,0,90223,"36,662%","2,39168","4,72","0,32"
TOTAL,791,37828,32401,89331,89664,89891,0,90223,"36,662%","2,39168","4,72","0,32"
