Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,17671,300,4,1591,2589,3801,1,5905,"0,045%","59,16306","49,17","8,50"
TOTAL,17671,300,4,1591,2589,3801,1,5905,"0,045%","59,16306","49,17","8,50"
