Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,3999,148,2,965,"129,14","0,050%","13,39313","36,83","1,93","2816,3"
TOTAL,3999,148,2,965,"129,14","0,050%","13,39313","36,83","1,93","2816,3"
