Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,4301,2049,1988,2769,2978,3395,14,4724,"0,047%","14,31019","39,25","2,06"
TOTAL,4301,2049,1988,2769,2978,3395,14,4724,"0,047%","14,31019","39,25","2,06"
