Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,223,36,3,211,"60,08","0,000%",",74921","0,71","0,11","967,6"
TOTAL,223,36,3,211,"60,08","0,000%",",74921","0,71","0,11","967,6"
