Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,1984,185,10,603,"54,34","0,101%","6,64065","18,30","0,96","2822,3"
TOTAL,1984,185,10,603,"54,34","0,101%","6,64065","18,30","0,96","2822,3"
