Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,1984,185,178,244,274,404,10,603,"0,101%","6,64065","18,30","0,96"
TOTAL,1984,185,178,244,274,404,10,603,"0,101%","6,64065","18,30","0,96"
