Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,17501,316,1,6823,"876,78","0,046%","58,60017","48,70","8,42","851,0"
TOTAL,17501,316,1,6823,"876,78","0,046%","58,60017","48,70","8,42","851,0"
