Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,4323,41,5,161,185,234,1,508,"0,046%","14,47364","11,80","2,08"
TOTAL,4323,41,5,161,185,234,1,508,"0,046%","14,47364","11,80","2,08"
