Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,17501,316,4,1562,2677,3858,1,6823,"0,046%","58,60017","48,70","8,42"
TOTAL,17501,316,4,1562,2677,3858,1,6823,"0,046%","58,60017","48,70","8,42"
