Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,224,36,9,159,175,186,2,201,"0,000%",",74997","0,70","0,11"
TOTAL,224,36,9,159,175,186,2,201,"0,000%",",74997","0,70","0,11"
