Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,224,36,2,201,"60,04","0,000%",",74997","0,70","0,11","961,0"
TOTAL,224,36,2,201,"60,04","0,000%",",74997","0,70","0,11","961,0"
