Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,2197,40,6,158,176,209,2,319,"0,091%","7,35444","6,40","1,06"
TOTAL,2197,40,6,158,176,209,2,319,"0,091%","7,35444","6,40","1,06"
