Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /movies,10574,56,4,205,284,639,1,1681,"0,038%","35,40528","29,97","5,09"
TOTAL,10574,56,4,205,284,639,1,1681,"0,038%","35,40528","29,97","5,09"
