Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /movies,10574,56,1,1681,"131,87","0,038%","35,40528","29,97","5,09","866,9"
TOTAL,10574,56,1,1681,"131,87","0,038%","35,40528","29,97","5,09","866,9"
